ts,kwd_no
2025-10-28 16:59:30,B118
2025-10-28 16:59:30,B244
2025-10-28 16:59:31,B118
2025-10-28 16:59:31,B244
2025-10-28 16:59:37,A008
2025-10-28 16:59:37,B118
2025-10-28 16:59:37,B244
2025-10-28 17:01:32,A008
2025-10-28 17:01:32,A009
2025-10-28 17:01:32,A010
2025-10-28 17:01:32,A011
2025-10-28 17:01:32,B009
2025-10-28 17:01:32,B098
2025-10-28 17:01:32,B103
2025-10-28 17:01:32,B107
2025-10-28 17:01:32,B108
2025-10-28 17:01:32,B109
2025-10-28 17:01:32,F257
2025-10-28 17:01:32,F276
2025-10-28 17:01:32,F300
2025-10-28 17:01:32,G017
2025-10-28 17:01:32,I004
2025-10-28 17:01:32,I017
2025-10-28 17:01:32,I018
2025-10-28 17:01:32,I028
2025-10-28 17:01:32,I030
2025-10-28 17:01:32,I031
2025-10-28 17:01:32,I036
2025-10-28 17:01:32,I037
2025-10-28 17:01:32,I046
2025-10-28 17:01:32,I048
2025-10-28 17:01:32,I079
2025-10-28 17:01:32,I082
2025-10-28 17:01:32,I092
2025-10-28 17:01:32,I123
2025-10-28 17:01:32,I128
2025-10-28 17:01:32,I148
2025-10-28 17:01:32,I177
2025-10-28 17:01:38,I004
2025-10-28 17:01:38,I017
2025-10-28 17:01:38,I018
2025-10-28 17:01:38,I028
2025-10-28 17:01:38,I030
2025-10-28 17:01:38,I031
2025-10-28 17:01:38,I036
2025-10-28 17:01:38,I037
2025-10-28 17:01:38,I046
2025-10-28 17:01:38,I048
2025-10-28 17:01:38,I079
2025-10-28 17:01:38,I082
2025-10-28 17:01:38,I092
2025-10-28 17:01:38,I123
2025-10-28 17:01:38,I128
2025-10-28 17:01:38,I148
2025-10-28 17:01:38,I177
2025-10-28 17:01:55,I127
2025-10-28 17:01:55,I177
2025-10-28 17:02:00,I127
2025-10-28 17:02:02,I127
2025-10-28 17:02:02,I177
2025-10-28 17:02:12,I004
2025-10-28 17:02:12,I017
2025-10-28 17:02:12,I018
2025-10-28 17:02:12,I028
2025-10-28 17:02:12,I030
2025-10-28 17:02:12,I031
2025-10-28 17:02:12,I036
2025-10-28 17:02:12,I037
2025-10-28 17:02:12,I046
2025-10-28 17:02:12,I048
2025-10-28 17:02:12,I079
2025-10-28 17:02:12,I082
2025-10-28 17:02:12,I092
2025-10-28 17:02:12,I123
2025-10-28 17:02:12,I128
2025-10-28 17:02:12,I148
2025-10-28 17:02:12,I177
2025-10-28 17:02:32,I079
2025-10-28 17:02:32,I082
2025-10-28 17:02:32,I092
2025-10-28 17:02:32,I177
2025-10-28 17:02:40,I004
2025-10-28 17:02:40,I017
2025-10-28 17:02:40,I018
2025-10-28 17:02:40,I028
2025-10-28 17:02:40,I030
2025-10-28 17:02:40,I031
2025-10-28 17:02:40,I036
2025-10-28 17:02:40,I037
2025-10-28 17:02:40,I046
2025-10-28 17:02:40,I048
2025-10-28 17:02:50,I004
2025-10-28 17:02:50,I017
2025-10-28 17:02:50,I018
2025-10-28 17:02:50,I028
2025-10-28 17:02:50,I030
2025-10-28 17:02:50,I031
2025-10-28 17:02:50,I036
2025-10-28 17:02:50,I037
2025-10-28 17:02:50,I046
2025-10-28 17:02:50,I048
2025-10-29 11:19:51,A008
2025-10-29 11:19:51,B107
2025-10-29 11:19:51,F276
2025-10-29 11:19:51,F300
2025-10-29 11:19:51,I127
2025-10-29 11:38:32,B118
2025-10-29 11:38:32,B244
2025-10-29 11:41:58,B118
2025-10-29 11:41:58,B244
2025-10-29 11:54:22,B118
2025-10-29 11:54:22,B244
2025-10-29 11:55:38,B017
2025-10-29 11:55:38,B085
2025-10-29 11:55:38,B107
2025-10-29 11:55:38,B330
2025-10-29 11:55:38,B352
2025-10-29 11:55:38,F256
2025-10-29 11:55:38,F276
2025-10-29 11:55:38,F361
2025-10-29 11:55:38,G005
2025-10-29 11:55:38,G033
2025-10-29 11:55:38,G071
2025-10-29 11:55:38,I127
2025-10-29 11:55:38,I177
2025-10-29 11:55:38,I234
2025-10-29 11:55:38,I241
2025-10-29 11:55:38,I264
2025-10-29 11:56:03,I127
2025-10-29 11:56:03,I177
2025-10-29 11:56:03,I234
2025-10-29 11:56:03,I241
2025-10-29 11:56:03,I264
2025-10-29 11:57:55,I127
2025-10-29 11:57:55,I177
2025-10-29 12:01:38,I127
2025-10-29 12:01:38,I177
2025-10-29 12:15:22,B011
2025-10-29 12:15:22,B012
2025-10-29 12:15:22,B013
2025-10-29 12:15:22,B194
2025-10-29 12:15:22,F012
2025-10-29 12:15:22,I002
2025-10-29 12:15:22,I098
2025-10-29 15:02:22,B017
2025-10-29 15:02:22,B018
2025-10-29 15:02:22,B021
2025-10-29 15:02:22,B053
2025-10-29 15:02:22,B068
2025-10-29 15:02:22,B069
2025-10-29 15:02:22,B080
2025-10-29 15:02:22,B085
2025-10-29 15:02:22,B098
2025-10-29 15:02:22,B103
2025-10-29 15:02:22,B107
2025-10-29 15:02:22,B108
2025-10-29 15:02:22,B109
2025-10-29 15:02:22,B199
2025-10-29 15:02:22,B200
2025-10-29 15:02:22,B201
2025-10-29 15:02:22,B202
2025-10-29 15:02:22,B203
2025-10-29 15:02:22,B330
2025-10-29 15:02:22,F075
2025-10-29 15:02:22,F076
2025-10-29 15:02:22,F077
2025-10-29 15:02:22,F081
2025-10-29 15:02:22,F125
2025-10-29 15:02:22,F126
2025-10-29 15:02:22,F127
2025-10-29 15:02:22,F128
2025-10-29 15:02:22,F129
2025-10-29 15:02:22,F130
2025-10-29 15:02:22,F175
2025-10-29 15:02:22,F201
2025-10-29 15:02:22,F225
2025-10-29 15:02:22,F242
2025-10-29 15:02:22,F256
2025-10-29 15:02:22,F257
2025-10-29 15:02:22,F276
2025-10-29 15:02:22,F361
2025-10-29 15:02:22,F362
2025-10-29 15:02:22,G005
2025-10-29 15:02:22,G010
2025-10-29 15:02:22,G017
2025-10-29 15:02:22,G033
2025-10-29 15:02:22,G071
2025-10-29 15:02:22,G079
2025-10-29 15:02:22,G109
2025-10-29 15:02:22,I004
2025-10-29 15:02:22,I017
2025-10-29 15:02:22,I018
2025-10-29 15:02:22,I028
2025-10-29 15:02:22,I030
2025-10-29 15:02:22,I031
2025-10-29 15:02:22,I036
2025-10-29 15:02:22,I037
2025-10-29 15:02:22,I046
2025-10-29 15:02:22,I048
2025-10-29 15:02:22,I079
2025-10-29 15:02:22,I082
2025-10-29 15:02:22,I092
